1000
ID;Titulo;Autor;Paginas;Ejemplares;Generos
LIB0;Libro_0;Autor_0;141;3;gastronomia-humor-leyendas-moda-viajes
LIB1;Libro_1;Autor_1;564;1;ciencia-religion
LIB2;Libro_2;Autor_2;1061;2;arte-drama
LIB3;Libro_3;Autor_3;536;2;ciencia-gastronomia-infantil-moda-religion-viajes
LIB4;Libro_4;Autor_4;818;1;biografia-gastronomia-humor-poesia
LIB5;Libro_5;Autor_5;1012;3;arte-cine-ensayo-fotografia-poesia-viajes
LIB6;Libro_6;Autor_6;773;5;biografia-cine-thriller
LIB7;Libro_7;Autor_7;647;5;arte-biografia-ensayo-fantasia
LIB8;Libro_8;Autor_8;841;5;drama-fotografia-juegos-politica
LIB9;Libro_9;Autor_9;206;1;fantasia-gastronomia-politica-relatos
LIB10;Libro_10;Autor_10;990;5;gastronomia-relatos
LIB11;Libro_11;Autor_11;201;4;arte-cine-ensayo-investigacion-juegos
LIB12;Libro_12;Autor_12;940;2;arte-biografia-leyendas
LIB13;Libro_13;Autor_13;539;2;arte-drama-ensayo-fotografia-religion
LIB14;Libro_14;Autor_14;641;4;ciencia-moda
LIB15;Libro_15;Autor_15;804;1;humor-infantil-investigacion-viajes
LIB16;Libro_16;Autor_16;845;5;gastronomia-investigacion
LIB17;Libro_17;Autor_17;197;3;arte-infantil-poesia
LIB18;Libro_18;Autor_18;455;3;relatos-religion
LIB19;Libro_19;Autor_19;152;1;juegos-politica
LIB20;Libro_20;Autor_20;1066;1;arte-drama-politica-thriller
LIB21;Libro_21;Autor_21;387;4;biografia-drama-infantil-leyendas
LIB22;Libro_22;Autor_22;688;3;gastronomia-politica-viajes
LIB23;Libro_23;Autor_23;268;1;poesia-thriller-viajes
LIB24;Libro_24;Autor_24;459;5;investigacion-juegos-poesia-thriller
LIB25;Libro_25;Autor_25;702;1;biografia-leyendas
LIB26;Libro_26;Autor_26;696;2;fantasia-gastronomia-juegos-moda-poesia
LIB27;Libro_27;Autor_27;153;5;biografia-cine-gastronomia-infantil
LIB28;Libro_28;Autor_28;828;4;ciencia-investigacion-poesia-relatos-religion
LIB29;Libro_29;Autor_29;913;5;drama-humor-relatos-religion
LIB30;Libro_30;Autor_30;656;4;biografia-ciencia-cine-leyendas-viajes
LIB31;Libro_31;Autor_31;802;1;ciencia-humor
LIB32;Libro_32;Autor_32;623;3;arte-drama-ensayo-fotografia-humor
LIB33;Libro_33;Autor_33;896;4;biografia-leyendas-viajes
LIB34;Libro_34;Autor_34;257;3;biografia-fantasia-fotografia-leyendas
LIB35;Libro_35;Autor_35;290;3;cine-ensayo-gastronomia-moda-viajes
LIB36;Libro_36;Autor_36;302;5;biografia-fantasia-humor
LIB37;Libro_37;Autor_37;986;1;ensayo-fantasia-poesia-relatos
LIB38;Libro_38;Autor_38;1098;3;biografia-cine
LIB39;Libro_39;Autor_39;576;3;drama-ensayo-fotografia-investigacion-politica-viajes
LIB40;Libro_40;Autor_40;961;4;ensayo-poesia-thriller
LIB41;Libro_41;Autor_41;102;1;juegos-leyendas-moda-politica
LIB42;Libro_42;Autor_42;857;3;fotografia-gastronomia-viajes
LIB43;Libro_43;Autor_43;1076;5;ciencia-fotografia-infantil-religion-thriller
LIB44;Libro_44;Autor_44;541;3;cine-humor
LIB45;Libro_45;Autor_45;853;5;cine-leyendas-moda-religion
LIB46;Libro_46;Autor_46;537;2;cine-fotografia-humor-moda-relatos
LIB47;Libro_47;Autor_47;588;3;gastronomia-poesia
LIB48;Libro_48;Autor_48;801;2;biografia-fotografia-relatos
LIB49;Libro_49;Autor_49;455;1;biografia-drama-infantil-poesia
LIB50;Libro_50;Autor_50;856;2;fantasia-gastronomia-humor-moda-politica
LIB51;Libro_51;Autor_51;322;5;gastronomia-thriller-viajes
LIB52;Libro_52;Autor_52;566;5;fotografia-gastronomia-humor-infantil-poesia
LIB53;Libro_53;Autor_53;845;5;arte-biografia-thriller
LIB54;Libro_54;Autor_54;268;4;drama-ensayo-relatos-viajes
LIB55;Libro_55;Autor_55;725;3;arte-fotografia-gastronomia-investigacion-juegos-relatos
LIB56;Libro_56;Autor_56;933;1;biografia-fantasia-humor-politica
LIB57;Libro_57;Autor_57;370;4;drama-investigacion-juegos-relatos-viajes
LIB58;Libro_58;Autor_58;727;3;drama-humor-infantil-moda-politica-religion
LIB59;Libro_59;Autor_59;161;2;ciencia-ensayo-fotografia-gastronomia-relatos
LIB60;Libro_60;Autor_60;592;3;cine-drama-investigacion-viajes
LIB61;Libro_61;Autor_61;460;4;cine-drama-fotografia-infantil-religion-thriller
LIB62;Libro_62;Autor_62;996;3;drama-religion
LIB63;Libro_63;Autor_63;794;1;cine-fotografia-infantil-politica-relatos-thriller
LIB64;Libro_64;Autor_64;471;2;arte-fotografia-leyendas-poesia-politica
LIB65;Libro_65;Autor_65;219;3;ciencia-thriller
LIB66;Libro_66;Autor_66;1026;1;biografia-humor-moda
LIB67;Libro_67;Autor_67;143;4;arte-ciencia-fantasia-poesia-religion-thriller
LIB68;Libro_68;Autor_68;574;1;biografia-investigacion-religion-thriller
LIB69;Libro_69;Autor_69;1002;3;infantil-politica-relatos-viajes
LIB70;Libro_70;Autor_70;364;1;fotografia-moda-politica
LIB71;Libro_71;Autor_71;871;2;ciencia-drama-gastronomia-leyendas
LIB72;Libro_72;Autor_72;288;4;drama-moda
LIB73;Libro_73;Autor_73;929;1;biografia-fantasia-fotografia-leyendas-thriller
LIB74;Libro_74;Autor_74;300;4;drama-infantil-leyendas-poesia-religion
LIB75;Libro_75;Autor_75;213;3;gastronomia-humor-investigacion
LIB76;Libro_76;Autor_76;1093;5;poesia-politica
LIB77;Libro_77;Autor_77;804;1;ensayo-fantasia-religion
LIB78;Libro_78;Autor_78;585;2;gastronomia-humor-poesia
LIB79;Libro_79;Autor_79;457;3;ensayo-investigacion-religion
LIB80;Libro_80;Autor_80;122;3;ciencia-drama-gastronomia-viajes
LIB81;Libro_81;Autor_81;523;5;biografia-drama-fantasia-juegos-relatos
LIB82;Libro_82;Autor_82;1062;5;arte-cine-infantil-investigacion-leyendas-relatos
LIB83;Libro_83;Autor_83;707;4;biografia-humor-thriller
LIB84;Libro_84;Autor_84;775;4;biografia-ensayo-juegos-moda-thriller
LIB85;Libro_85;Autor_85;559;1;drama-poesia-relatos
LIB86;Libro_86;Autor_86;305;4;moda-politica
LIB87;Libro_87;Autor_87;801;4;fotografia-gastronomia-moda-relatos-thriller
LIB88;Libro_88;Autor_88;1062;4;ciencia-fantasia-poesia
LIB89;Libro_89;Autor_89;955;1;fantasia-gastronomia-viajes
LIB90;Libro_90;Autor_90;778;3;drama-investigacion-poesia-politica
LIB91;Libro_91;Autor_91;172;4;poesia-thriller
LIB92;Libro_92;Autor_92;212;1;ciencia-fantasia-poesia-relatos-thriller-viajes
LIB93;Libro_93;Autor_93;689;1;gastronomia-juegos
LIB94;Libro_94;Autor_94;751;1;ensayo-investigacion-relatos-thriller
LIB95;Libro_95;Autor_95;281;4;arte-drama-ensayo-fantasia-gastronomia-poesia
LIB96;Libro_96;Autor_96;661;3;infantil-juegos-poesia-religion
LIB97;Libro_97;Autor_97;274;2;investigacion-politica-religion
LIB98;Libro_98;Autor_98;924;2;ensayo-poesia-politica-religion
LIB99;Libro_99;Autor_99;184;1;biografia-humor-thriller
LIB100;Libro_100;Autor_100;947;5;cine-fotografia-juegos-thriller
LIB101;Libro_101;Autor_101;271;5;ciencia-infantil
LIB102;Libro_102;Autor_102;719;4;ensayo-infantil-religion
LIB103;Libro_103;Autor_103;850;1;ciencia-poesia
LIB104;Libro_104;Autor_104;522;4;arte-drama-moda-politica
LIB105;Libro_105;Autor_105;1013;1;fotografia-infantil
LIB106;Libro_106;Autor_106;778;5;drama-infantil-investigacion-relatos
LIB107;Libro_107;Autor_107;965;1;drama-politica
LIB108;Libro_108;Autor_108;970;2;ciencia-fantasia-politica-relatos-religion
LIB109;Libro_109;Autor_109;863;2;biografia-infantil-relatos-viajes
LIB110;Libro_110;Autor_110;665;4;ensayo-humor-investigacion-leyendas-poesia
LIB111;Libro_111;Autor_111;563;5;investigacion-relatos-religion
LIB112;Libro_112;Autor_112;160;2;arte-biografia-drama-fotografia-religion
LIB113;Libro_113;Autor_113;943;1;moda-religion
LIB114;Libro_114;Autor_114;636;4;gastronomia-investigacion
LIB115;Libro_115;Autor_115;138;4;fantasia-juegos-moda-politica-relatos-thriller
LIB116;Libro_116;Autor_116;1044;1;biografia-ciencia-cine-infantil-thriller
LIB117;Libro_117;Autor_117;649;2;drama-fotografia-humor-investigacion-poesia
LIB118;Libro_118;Autor_118;296;4;ciencia-drama-fantasia-fotografia
LIB119;Libro_119;Autor_119;504;1;humor-religion
LIB120;Libro_120;Autor_120;665;2;drama-fantasia-poesia
LIB121;Libro_121;Autor_121;356;3;fantasia-fotografia-politica
LIB122;Libro_122;Autor_122;115;2;gastronomia-poesia
LIB123;Libro_123;Autor_123;111;3;gastronomia-religion
LIB124;Libro_124;Autor_124;734;4;gastronomia-juegos-thriller-viajes
LIB125;Libro_125;Autor_125;554;4;arte-fotografia-juegos-religion-thriller
LIB126;Libro_126;Autor_126;209;4;ensayo-viajes
LIB127;Libro_127;Autor_127;958;1;arte-biografia
LIB128;Libro_128;Autor_128;1003;2;biografia-gastronomia-humor-religion
LIB129;Libro_129;Autor_129;382;4;drama-fantasia-infantil-juegos-poesia
LIB130;Libro_130;Autor_130;359;4;humor-investigacion-juegos-leyendas-politica
LIB131;Libro_131;Autor_131;785;4;ensayo-fotografia-infantil-leyendas-viajes
LIB132;Libro_132;Autor_132;561;5;ciencia-cine-ensayo-fantasia-fotografia
LIB133;Libro_133;Autor_133;1037;5;arte-ciencia-drama-ensayo-humor
LIB134;Libro_134;Autor_134;655;1;drama-juegos
LIB135;Libro_135;Autor_135;388;3;cine-juegos-leyendas-moda-relatos-thriller
LIB136;Libro_136;Autor_136;1051;2;leyendas-relatos
LIB137;Libro_137;Autor_137;998;4;ensayo-leyendas-poesia-politica
LIB138;Libro_138;Autor_138;108;2;ciencia-thriller
LIB139;Libro_139;Autor_139;128;5;arte-biografia-humor-leyendas-politica
LIB140;Libro_140;Autor_140;433;3;drama-infantil-juegos-leyendas-viajes
LIB141;Libro_141;Autor_141;750;4;arte-biografia-ciencia-ensayo-juegos-politica
LIB142;Libro_142;Autor_142;628;5;ciencia-gastronomia-humor-infantil-moda
LIB143;Libro_143;Autor_143;766;3;drama-leyendas-viajes
LIB144;Libro_144;Autor_144;121;3;drama-ensayo-leyendas
LIB145;Libro_145;Autor_145;1002;4;arte-ciencia-humor-politica-thriller
LIB146;Libro_146;Autor_146;368;4;biografia-cine-ensayo-politica
LIB147;Libro_147;Autor_147;236;1;biografia-infantil-juegos-politica-relatos-religion
LIB148;Libro_148;Autor_148;252;5;biografia-viajes
LIB149;Libro_149;Autor_149;591;3;humor-relatos-viajes
LIB150;Libro_150;Autor_150;822;5;ciencia-investigacion
LIB151;Libro_151;Autor_151;579;4;fotografia-moda-poesia-politica
LIB152;Libro_152;Autor_152;296;3;gastronomia-politica-relatos-viajes
LIB153;Libro_153;Autor_153;1025;3;arte-biografia-ensayo-humor-infantil
LIB154;Libro_154;Autor_154;700;4;arte-fantasia-juegos-moda-thriller
LIB155;Libro_155;Autor_155;862;3;investigacion-politica-thriller
LIB156;Libro_156;Autor_156;928;2;arte-relatos-viajes
LIB157;Libro_157;Autor_157;758;5;relatos-religion
LIB158;Libro_158;Autor_158;247;3;fotografia-juegos
LIB159;Libro_159;Autor_159;461;5;arte-cine-ensayo-relatos
LIB160;Libro_160;Autor_160;738;4;biografia-religion
LIB161;Libro_161;Autor_161;575;1;ciencia-cine-drama-gastronomia-investigacion
LIB162;Libro_162;Autor_162;1062;2;arte-ensayo-fotografia-gastronomia-humor-juegos
LIB163;Libro_163;Autor_163;1025;1;arte-cine-ensayo-moda
LIB164;Libro_164;Autor_164;736;5;biografia-ciencia-cine-fantasia-investigacion-relatos
LIB165;Libro_165;Autor_165;437;4;biografia-ensayo-leyendas-poesia-religion-viajes
LIB166;Libro_166;Autor_166;473;3;ciencia-cine-ensayo-gastronomia
LIB167;Libro_167;Autor_167;274;5;ensayo-humor-moda-poesia
LIB168;Libro_168;Autor_168;905;1;infantil-moda-religion
LIB169;Libro_169;Autor_169;164;2;arte-ciencia-poesia
LIB170;Libro_170;Autor_170;689;2;arte-gastronomia-leyendas-religion
LIB171;Libro_171;Autor_171;526;1;fotografia-moda-poesia-thriller
LIB172;Libro_172;Autor_172;282;2;politica-religion
LIB173;Libro_173;Autor_173;464;3;biografia-gastronomia
LIB174;Libro_174;Autor_174;1072;2;ciencia-ensayo-fotografia-politica
LIB175;Libro_175;Autor_175;295;5;infantil-moda
LIB176;Libro_176;Autor_176;581;3;arte-ensayo-fotografia-poesia
LIB177;Libro_177;Autor_177;1067;4;arte-ensayo
LIB178;Libro_178;Autor_178;859;5;arte-drama-investigacion-politica-religion
LIB179;Libro_179;Autor_179;800;3;drama-politica-relatos-thriller
LIB180;Libro_180;Autor_180;547;2;drama-ensayo-infantil-investigacion-juegos
LIB181;Libro_181;Autor_181;823;3;humor-politica-religion-thriller
LIB182;Libro_182;Autor_182;590;1;arte-fotografia-humor-leyendas-poesia
LIB183;Libro_183;Autor_183;768;4;ensayo-fantasia-religion
LIB184;Libro_184;Autor_184;827;2;biografia-drama-religion
LIB185;Libro_185;Autor_185;127;4;ensayo-leyendas
LIB186;Libro_186;Autor_186;338;3;fotografia-gastronomia-moda-poesia-politica
LIB187;Libro_187;Autor_187;750;5;arte-drama-infantil-poesia
LIB188;Libro_188;Autor_188;367;4;drama-ensayo-fantasia-leyendas-relatos
LIB189;Libro_189;Autor_189;542;3;ensayo-humor-leyendas-poesia
LIB190;Libro_190;Autor_190;690;4;fantasia-infantil-poesia-thriller
LIB191;Libro_191;Autor_191;427;3;gastronomia-humor
LIB192;Libro_192;Autor_192;1026;3;investigacion-relatos
LIB193;Libro_193;Autor_193;358;4;leyendas-religion
LIB194;Libro_194;Autor_194;842;1;ensayo-gastronomia-poesia-viajes
LIB195;Libro_195;Autor_195;603;3;arte-gastronomia
LIB196;Libro_196;Autor_196;357;1;ensayo-investigacion-juegos-religion-viajes
LIB197;Libro_197;Autor_197;378;5;biografia-investigacion
LIB198;Libro_198;Autor_198;686;2;biografia-ensayo-investigacion-leyendas
LIB199;Libro_199;Autor_199;533;1;fantasia-religion
LIB200;Libro_200;Autor_200;937;3;biografia-juegos-relatos-viajes
LIB201;Libro_201;Autor_201;894;4;infantil-investigacion-religion-thriller
LIB202;Libro_202;Autor_202;364;3;drama-ensayo-fantasia-humor-religion
LIB203;Libro_203;Autor_203;912;4;biografia-ciencia-infantil-poesia-politica
LIB204;Libro_204;Autor_204;954;1;drama-ensayo-infantil-leyendas
LIB205;Libro_205;Autor_205;644;1;juegos-relatos-religion-viajes
LIB206;Libro_206;Autor_206;592;4;ciencia-humor-religion
LIB207;Libro_207;Autor_207;597;1;cine-humor-juegos-moda-politica-thriller
LIB208;Libro_208;Autor_208;678;5;gastronomia-leyendas-politica
LIB209;Libro_209;Autor_209;720;3;biografia-fantasia-poesia
LIB210;Libro_210;Autor_210;678;5;biografia-gastronomia-humor-infantil-poesia
LIB211;Libro_211;Autor_211;480;4;investigacion-moda-poesia
LIB212;Libro_212;Autor_212;707;2;drama-fotografia-gastronomia-poesia-politica-viajes
LIB213;Libro_213;Autor_213;263;4;ensayo-fotografia-humor
LIB214;Libro_214;Autor_214;1054;4;cine-drama-infantil-thriller
LIB215;Libro_215;Autor_215;699;2;humor-infantil
LIB216;Libro_216;Autor_216;487;5;politica-viajes
LIB217;Libro_217;Autor_217;770;2;ciencia-fantasia-leyendas-poesia
LIB218;Libro_218;Autor_218;721;1;cine-drama-gastronomia
LIB219;Libro_219;Autor_219;679;4;ensayo-humor-juegos-relatos
LIB220;Libro_220;Autor_220;1095;4;cine-ensayo-gastronomia
LIB221;Libro_221;Autor_221;665;4;biografia-cine-moda-viajes
LIB222;Libro_222;Autor_222;155;2;arte-ensayo-fantasia-investigacion
LIB223;Libro_223;Autor_223;546;3;gastronomia-juegos-relatos-religion
LIB224;Libro_224;Autor_224;569;3;biografia-gastronomia-moda
LIB225;Libro_225;Autor_225;1049;3;gastronomia-infantil
LIB226;Libro_226;Autor_226;651;3;biografia-relatos-thriller
LIB227;Libro_227;Autor_227;494;1;drama-humor-relatos-viajes
LIB228;Libro_228;Autor_228;678;4;ciencia-fantasia-gastronomia-investigacion-poesia
LIB229;Libro_229;Autor_229;1075;5;juegos-viajes
LIB230;Libro_230;Autor_230;965;5;biografia-ciencia-religion-thriller
LIB231;Libro_231;Autor_231;622;3;fantasia-thriller
LIB232;Libro_232;Autor_232;287;1;fantasia-humor-leyendas-moda-thriller
LIB233;Libro_233;Autor_233;376;5;cine-drama-fotografia-gastronomia-investigacion-poesia
LIB234;Libro_234;Autor_234;960;4;biografia-cine-ensayo-leyendas
LIB235;Libro_235;Autor_235;182;1;biografia-drama-leyendas-religion
LIB236;Libro_236;Autor_236;381;2;biografia-religion
LIB237;Libro_237;Autor_237;418;1;arte-biografia-politica
LIB238;Libro_238;Autor_238;174;4;infantil-poesia-religion
LIB239;Libro_239;Autor_239;332;3;arte-leyendas
LIB240;Libro_240;Autor_240;550;2;biografia-ensayo-investigacion
LIB241;Libro_241;Autor_241;816;4;biografia-infantil-moda
LIB242;Libro_242;Autor_242;650;4;biografia-ensayo-fotografia
LIB243;Libro_243;Autor_243;743;1;ciencia-gastronomia-juegos-poesia
LIB244;Libro_244;Autor_244;481;3;arte-ciencia
LIB245;Libro_245;Autor_245;472;3;fantasia-investigacion-leyendas-moda-viajes
LIB246;Libro_246;Autor_246;678;4;arte-juegos-thriller
LIB247;Libro_247;Autor_247;797;1;biografia-cine-leyendas-moda-politica-relatos
LIB248;Libro_248;Autor_248;717;1;drama-gastronomia-poesia
LIB249;Libro_249;Autor_249;1028;3;cine-infantil-leyendas-poesia-viajes
LIB250;Libro_250;Autor_250;520;1;humor-leyendas-politica
LIB251;Libro_251;Autor_251;418;1;biografia-cine-thriller
LIB252;Libro_252;Autor_252;286;3;arte-moda
LIB253;Libro_253;Autor_253;531;3;moda-politica-relatos
LIB254;Libro_254;Autor_254;437;2;drama-fantasia-humor-investigacion-moda-poesia
LIB255;Libro_255;Autor_255;642;3;humor-infantil-politica-viajes
LIB256;Libro_256;Autor_256;193;5;arte-ciencia-poesia
LIB257;Libro_257;Autor_257;582;3;gastronomia-thriller
LIB258;Libro_258;Autor_258;184;1;investigacion-leyendas
LIB259;Libro_259;Autor_259;881;3;arte-cine-investigacion
LIB260;Libro_260;Autor_260;180;1;gastronomia-humor-politica-viajes
LIB261;Libro_261;Autor_261;179;4;arte-politica
LIB262;Libro_262;Autor_262;879;4;ciencia-cine-infantil-leyendas-poesia-religion
LIB263;Libro_263;Autor_263;935;1;arte-religion-viajes
LIB264;Libro_264;Autor_264;908;5;ensayo-leyendas-poesia
LIB265;Libro_265;Autor_265;540;1;leyendas-poesia-viajes
LIB266;Libro_266;Autor_266;897;3;ciencia-drama-fantasia-humor-thriller
LIB267;Libro_267;Autor_267;840;2;arte-biografia-ciencia-cine-drama-infantil
LIB268;Libro_268;Autor_268;807;1;cine-fantasia-infantil
LIB269;Libro_269;Autor_269;268;1;cine-religion-thriller
LIB270;Libro_270;Autor_270;236;1;fantasia-fotografia-humor-poesia
LIB271;Libro_271;Autor_271;612;4;arte-biografia-gastronomia-infantil-politica
LIB272;Libro_272;Autor_272;435;5;fantasia-fotografia-investigacion-relatos-religion
LIB273;Libro_273;Autor_273;891;2;moda-poesia-viajes
LIB274;Libro_274;Autor_274;129;3;ensayo-fantasia-thriller-viajes
LIB275;Libro_275;Autor_275;818;5;ciencia-infantil-investigacion-poesia-relatos
LIB276;Libro_276;Autor_276;105;3;biografia-cine-drama-humor-poesia
LIB277;Libro_277;Autor_277;1090;4;arte-fotografia
LIB278;Libro_278;Autor_278;321;1;biografia-ciencia-juegos-relatos-thriller
LIB279;Libro_279;Autor_279;362;1;fotografia-poesia-relatos-thriller
LIB280;Libro_280;Autor_280;879;4;drama-investigacion
LIB281;Libro_281;Autor_281;101;1;arte-infantil-investigacion-leyendas
LIB282;Libro_282;Autor_282;557;4;politica-thriller
LIB283;Libro_283;Autor_283;938;5;fantasia-fotografia-leyendas-politica
LIB284;Libro_284;Autor_284;823;1;cine-drama-politica-viajes
LIB285;Libro_285;Autor_285;401;4;gastronomia-leyendas-poesia
LIB286;Libro_286;Autor_286;710;1;arte-ensayo-fantasia
LIB287;Libro_287;Autor_287;115;1;gastronomia-investigacion-leyendas
LIB288;Libro_288;Autor_288;922;3;arte-juegos
LIB289;Libro_289;Autor_289;390;5;ensayo-fantasia-investigacion-moda-politica-religion
LIB290;Libro_290;Autor_290;430;4;drama-ensayo-poesia-politica
LIB291;Libro_291;Autor_291;905;2;drama-viajes
LIB292;Libro_292;Autor_292;1063;1;arte-humor-leyendas-moda
LIB293;Libro_293;Autor_293;837;5;ensayo-poesia
LIB294;Libro_294;Autor_294;955;5;arte-gastronomia-juegos
LIB295;Libro_295;Autor_295;175;3;ensayo-fotografia-humor-juegos-poesia-religion
LIB296;Libro_296;Autor_296;767;2;fotografia-politica
LIB297;Libro_297;Autor_297;128;5;arte-ciencia-humor-politica
LIB298;Libro_298;Autor_298;160;2;ciencia-fantasia-investigacion-juegos-poesia
LIB299;Libro_299;Autor_299;284;5;fotografia-gastronomia-juegos-religion-thriller
LIB300;Libro_300;Autor_300;1074;3;fotografia-leyendas-poesia
LIB301;Libro_301;Autor_301;339;4;fotografia-infantil-politica-relatos-religion
LIB302;Libro_302;Autor_302;579;1;ciencia-drama-gastronomia-investigacion-politica-relatos
LIB303;Libro_303;Autor_303;1093;2;arte-ciencia-ensayo-investigacion
LIB304;Libro_304;Autor_304;1078;2;drama-gastronomia-humor-infantil-relatos
LIB305;Libro_305;Autor_305;807;3;juegos-moda-poesia
LIB306;Libro_306;Autor_306;737;4;politica-thriller
LIB307;Libro_307;Autor_307;262;1;ciencia-fotografia-humor
LIB308;Libro_308;Autor_308;360;5;drama-viajes
LIB309;Libro_309;Autor_309;822;1;ensayo-fotografia-thriller
LIB310;Libro_310;Autor_310;911;1;biografia-humor-thriller
LIB311;Libro_311;Autor_311;163;3;ciencia-fantasia-gastronomia
LIB312;Libro_312;Autor_312;303;4;biografia-infantil-leyendas
LIB313;Libro_313;Autor_313;1067;2;investigacion-leyendas
LIB314;Libro_314;Autor_314;919;1;leyendas-religion-thriller
LIB315;Libro_315;Autor_315;691;4;drama-ensayo-juegos-leyendas-religion
LIB316;Libro_316;Autor_316;483;4;fantasia-poesia
LIB317;Libro_317;Autor_317;400;5;fantasia-fotografia-juegos-politica
LIB318;Libro_318;Autor_318;203;1;arte-ciencia-drama-gastronomia-leyendas
LIB319;Libro_319;Autor_319;741;4;arte-humor-moda-viajes
LIB320;Libro_320;Autor_320;783;1;ensayo-fantasia-fotografia-gastronomia
LIB321;Libro_321;Autor_321;108;2;arte-cine-fotografia
LIB322;Libro_322;Autor_322;142;3;drama-fantasia-relatos
LIB323;Libro_323;Autor_323;480;4;arte-ciencia-gastronomia-juegos-viajes
LIB324;Libro_324;Autor_324;803;3;arte-fantasia-poesia-politica-religion-thriller
LIB325;Libro_325;Autor_325;344;5;biografia-ciencia-ensayo-fotografia-relatos-thriller
LIB326;Libro_326;Autor_326;831;3;moda-politica-religion
LIB327;Libro_327;Autor_327;203;3;arte-biografia-cine-fotografia-investigacion-poesia
LIB328;Libro_328;Autor_328;950;3;biografia-humor
LIB329;Libro_329;Autor_329;751;1;drama-gastronomia-infantil-thriller
LIB330;Libro_330;Autor_330;715;4;ciencia-ensayo-fantasia-juegos-poesia
LIB331;Libro_331;Autor_331;1002;3;poesia-viajes
